grain,source_combination,group_count
ein,nccs_bmf;nccs_postcard,2950
ein,nccs_bmf,2326
ein,givingtuesday_datamart;nccs_bmf;nccs_efile,1719
ein,nccs_postcard,353
ein,givingtuesday_datamart;nccs_bmf,297
ein,givingtuesday_datamart;nccs_bmf;nccs_efile;nccs_postcard,154
ein,givingtuesday_datamart;nccs_efile,60
ein,givingtuesday_datamart,4
ein,givingtuesday_datamart;nccs_bmf;nccs_postcard,2
ein,givingtuesday_datamart;nccs_efile;nccs_postcard,2
ein_tax_year,nccs_bmf,23086
ein_tax_year,givingtuesday_datamart;nccs_bmf;nccs_efile,3505
ein_tax_year,nccs_bmf;nccs_postcard,2763
ein_tax_year,nccs_postcard,689
ein_tax_year,givingtuesday_datamart;nccs_bmf,427
ein_tax_year,givingtuesday_datamart;nccs_efile,352
ein_tax_year,givingtuesday_datamart,85
ein_tax_year,givingtuesday_datamart;nccs_bmf;nccs_efile;nccs_postcard,8
ein_tax_year,givingtuesday_datamart;nccs_efile;nccs_postcard,1
