harmonized_field,master_row_count,rows_with_selected_value,conflict_row_count,max_distinct_nonblank_value_count
harm_ein,30916,30916,0,1
harm_tax_year,30916,30916,0,1
harm_filing_form,30916,7830,12,2
harm_org_name,30916,30916,2274,3
harm_state,30916,30916,0,1
harm_zip5,30916,30916,444,2
harm_county_fips,30916,30916,112,2
harm_region,30916,30916,13,2
harm_ntee_code,30916,21851,0,1
harm_subsection_code,30916,30367,0,1
harm_revenue_amount,30916,26658,3522,3
harm_expenses_amount,30916,4340,9,2
harm_assets_amount,30916,29186,3858,3
harm_income_amount,30916,29183,3865,3
harm_gross_receipts_under_25000_flag,30916,3461,0,1
harm_is_hospital,30916,2440,12,2
harm_is_university,30916,1194,5,2
