harmonized_field,selected_source_family,selected_source_time_basis,selected_row_count
harm_ein,givingtuesday_datamart,tax_year,4378
harm_ein,nccs_bmf,reference_snapshot_year,23086
harm_ein,nccs_postcard,tax_year_in_snapshot,3452
harm_tax_year,givingtuesday_datamart,tax_year,4378
harm_tax_year,nccs_bmf,reference_snapshot_year,23086
harm_tax_year,nccs_postcard,tax_year_in_snapshot,3452
harm_filing_form,,,23086
harm_filing_form,givingtuesday_datamart,tax_year,4378
harm_filing_form,nccs_postcard,tax_year_in_snapshot,3452
harm_org_name,givingtuesday_datamart,tax_year,4378
harm_org_name,nccs_bmf,reference_snapshot_year,23086
harm_org_name,nccs_postcard,tax_year_in_snapshot,3452
harm_state,givingtuesday_datamart,tax_year,4378
harm_state,nccs_bmf,reference_snapshot_year,23088
harm_state,nccs_postcard,tax_year_in_snapshot,3450
harm_zip5,givingtuesday_datamart,tax_year,4378
harm_zip5,nccs_bmf,reference_snapshot_year,23086
harm_zip5,nccs_postcard,tax_year_in_snapshot,3452
harm_county_fips,givingtuesday_datamart,tax_year,4378
harm_county_fips,nccs_bmf,reference_snapshot_year,23086
harm_county_fips,nccs_postcard,tax_year_in_snapshot,3452
harm_region,givingtuesday_datamart,tax_year,4378
harm_region,nccs_bmf,reference_snapshot_year,23086
harm_region,nccs_postcard,tax_year_in_snapshot,3452
harm_ntee_code,,,9065
harm_ntee_code,nccs_bmf,reference_snapshot_year,21851
harm_subsection_code,,,549
harm_subsection_code,nccs_bmf,reference_snapshot_year,30367
harm_revenue_amount,,,4258
harm_revenue_amount,givingtuesday_datamart,tax_year,4365
harm_revenue_amount,nccs_bmf,reference_snapshot_year,22293
harm_expenses_amount,,,26576
harm_expenses_amount,givingtuesday_datamart,tax_year,4340
harm_assets_amount,,,1730
harm_assets_amount,givingtuesday_datamart,tax_year,4378
harm_assets_amount,nccs_bmf,reference_snapshot_year,24808
harm_income_amount,,,1733
harm_income_amount,givingtuesday_datamart,tax_year,4334
harm_income_amount,nccs_bmf,reference_snapshot_year,24819
harm_income_amount,nccs_efile,tax_year,30
harm_gross_receipts_under_25000_flag,,,27455
harm_gross_receipts_under_25000_flag,nccs_postcard,tax_year_in_snapshot,3461
harm_is_hospital,,,28476
harm_is_hospital,givingtuesday_datamart,tax_year,2439
harm_is_hospital,nccs_efile,tax_year,1
harm_is_university,,,29722
harm_is_university,givingtuesday_datamart,tax_year,1097
harm_is_university,nccs_efile,tax_year,97
