artifact_type,local_path,local_bytes,s3_bucket,s3_key,s3_bytes,size_match
master_parquet,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\combined_990\combined_990_master_ein_tax_year.parquet,1740139,swb-321-irs990-teos,silver/combined_990/combined_990_master_ein_tax_year.parquet,1740139,TRUE
metadata,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\combined_990\build_summary.json,12205,swb-321-irs990-teos,silver/combined_990/metadata/build_summary.json,12205,TRUE
metadata,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\combined_990\column_dictionary.csv,75051,swb-321-irs990-teos,silver/combined_990/metadata/column_dictionary.csv,75051,TRUE
metadata,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\combined_990\diag_overlap_by_ein.csv,417822,swb-321-irs990-teos,silver/combined_990/metadata/diag_overlap_by_ein.csv,417822,TRUE
metadata,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\combined_990\diag_overlap_by_ein_tax_year.csv,1504513,swb-321-irs990-teos,silver/combined_990/metadata/diag_overlap_by_ein_tax_year.csv,1504513,TRUE
metadata,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\combined_990\diag_overlap_summary.csv,897,swb-321-irs990-teos,silver/combined_990/metadata/diag_overlap_summary.csv,897,TRUE
metadata,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\combined_990\field_availability_matrix.csv,172578,swb-321-irs990-teos,silver/combined_990/metadata/field_availability_matrix.csv,172578,TRUE
metadata,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\combined_990\master_column_dictionary.csv,39399,swb-321-irs990-teos,silver/combined_990/metadata/master_column_dictionary.csv,39399,TRUE
metadata,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\combined_990\master_conflict_detail.csv,12179338,swb-321-irs990-teos,silver/combined_990/metadata/master_conflict_detail.csv,12179338,TRUE
metadata,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\combined_990\master_conflict_detail.parquet,508044,swb-321-irs990-teos,silver/combined_990/metadata/master_conflict_detail.parquet,508044,TRUE
metadata,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\combined_990\master_conflict_summary.csv,708,swb-321-irs990-teos,silver/combined_990/metadata/master_conflict_summary.csv,708,TRUE
metadata,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\combined_990\master_field_selection_summary.csv,2424,swb-321-irs990-teos,silver/combined_990/metadata/master_field_selection_summary.csv,2424,TRUE
metadata,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\combined_990\source_input_manifest.csv,2681,swb-321-irs990-teos,silver/combined_990/metadata/source_input_manifest.csv,2681,TRUE
union_parquet,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\combined_990\combined_990_filtered_source_union.parquet,4486573,swb-321-irs990-teos,silver/combined_990/combined_990_filtered_source_union.parquet,4486573,TRUE
