source_family,source_variant,input_path,input_format,snapshot_year,snapshot_month,input_rows,output_rows_written,min_tax_year,max_tax_year,load_status
givingtuesday_datamart,benchmark_filings,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\filing\givingtuesday_990_filings_benchmark.parquet,parquet,,,6255,6255,2021,2024,ok
nccs_postcard,snapshot_year_2026_tax_year_start_2022,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\nccs_990\postcard\snapshot_year=2026\nccs_990_postcard_benchmark_tax_year_start=2022_snapshot_year=2026.parquet,parquet,2026,,3461,3461,2022,2025,ok
nccs_efile,efile_tax_year_2022,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\nccs_efile\tax_year=2022\nccs_efile_benchmark_tax_year=2022.parquet,parquet,,,1700,1700,2022,2022,ok
nccs_efile,efile_tax_year_2023,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\nccs_efile\tax_year=2023\nccs_efile_benchmark_tax_year=2023.parquet,parquet,,,1637,1637,2023,2023,ok
nccs_efile,efile_tax_year_2024,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\nccs_efile\tax_year=2024\nccs_efile_benchmark_tax_year=2024.parquet,parquet,,,528,528,2024,2024,ok
nccs_bmf,legacy_bmf_2022,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\nccs_bmf\year=2022\nccs_bmf_benchmark_year=2022.parquet,parquet,2022,,5600,5600,2022,2022,ok
nccs_bmf,raw_bmf_2023,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\nccs_bmf\year=2023\nccs_bmf_benchmark_year=2023.parquet,parquet,2023,,5805,5805,2023,2023,ok
nccs_bmf,raw_bmf_2024,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\nccs_bmf\year=2024\nccs_bmf_benchmark_year=2024.parquet,parquet,2024,,5989,5989,2024,2024,ok
nccs_bmf,raw_bmf_2025,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\nccs_bmf\year=2025\nccs_bmf_benchmark_year=2025.parquet,parquet,2025,,6155,6155,2025,2025,ok
nccs_bmf,raw_bmf_2026,C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\staging\nccs_bmf\year=2026\nccs_bmf_benchmark_year=2026.parquet,parquet,2026,,6244,6244,2026,2026,ok
